lat,long,amenity,name,description,operator,brand,brand:wikipedia
43.115348,131.8904533,place_of_worship,Вечная радость,,,,
43.115223,131.8914446,cafe,"Арт-кафе ""Станиславский""",,,,
43.1146515,131.8922518,bank,Банк Приморье,,,,
43.1142649,131.8942714,education,Детская библиотека им. Пушкина,,,,
43.1141993,131.8942931,goverment,Флотский военный суд,,,,
43.1139717,131.8957827,cafe,Кафетория,,,,
43.1137407,131.895541,bank,Азиатско-Тихоокеанский Банк,,,,
43.113922,131.8960195,pharmacy,,,Приморская краевая аптека,,
43.1142793,131.8987671,bank,Авангард,,,,
43.1142892,131.898883,atm,Банкомат банка Авангард,,,,
43.1143291,131.899024,pharmacy,,,,,
43.1143545,131.8991739,bank,Казначейство россии. Управление по приморскому краю,,Федеральное казначейство России,,
43.1145127,131.8996644,bank,Центральный банк России,,,,
43.1025894,131.9036107,post_office,Владивосток 690012,,АО «Почта России»,Почта России,ru:Почта России
43.1051551,131.8727732,pharmacy,Аптека,,,,
43.1264061,131.9151117,pharmacy,Аптека №151,,,,
43.1624273,131.9115139,culture,Иллюзион,,,,
43.1200804,131.8774459,fast_food,Royal Burger,,,,
43.163457,131.916021,cafe,,,,,
43.1633277,131.9156503,restaurant,Хортица,,,,
43.126902,131.9137695,medics,Детская поликлиника №7,,,,
43.1280491,131.9052297,medics,Поликлиника №1 терапевтическое отделение,,,,
43.1267525,131.9208139,pharmacy,,,,,
43.1316637,131.9109842,pharmacy,,,,,
43.1322954,131.9131325,pharmacy,,,,,
43.1200209,131.9080284,medics,"Владивостокская поликлиника №2, КГБУЗ",,,,
43.1210184,131.9072062,medics,Детская городская поликлиника №2,,,,
43.1154133,131.9027473,nightclub,Стэлс,,,,
43.116987,131.8862055,pharmacy,Аптека №33,,,,
43.1037522,131.8654238,goverment,ПЧ-3,,,,
43.1579562,131.9265597,pharmacy,Семейная аптека,,,,
43.1140359,131.8848043,cafe,,,,,
43.1140681,131.8848369,atm,Номос Региобанк,,,,
43.1153216,131.9430857,post_office,Владивосток 690013,,АО «Почта России»,Почта России,ru:Почта России
43.128032,131.9390176,alco,BeerЛога,,,,
43.1305735,131.9403924,medics,,,,,
43.1257835,131.9459084,pharmacy,Аптека,,,,
43.1084885,131.8736004,restaurant,7 футов,,,,
43.1091497,131.9405388,car_wash,,,,,
43.1036841,131.9469608,facility,,,,,
43.1113779,131.9369954,atm,,,Муниципальный Камчатпрофитбанк,,
43.1116436,131.9369895,fast_food,"Столовая ""Копейка""",,,,
43.1136293,131.9367751,pharmacy,,,,,
43.1251026,131.9590875,cafe,Китайская пища,,,,
43.1254455,131.9592892,cafe,Трапеза,Казахская и русская кухня.,,,
43.1252133,131.9585224,fast_food,У тёти Люды,"Напитки, выпечка, бутерброды.",,,
43.12497,131.9574104,fast_food,Шаурма,"Круглосуточно. Хотдоги, пирожки, шаурма, плов, чай, кофе, напитки",,,
43.123653,131.9639551,facility,,,,,
43.1255585,131.9576209,facility,,,,,
43.1252742,131.95745,restaurant,Чор-Минор,"Узбекская, уйгурская, русская, европейская кухня. По будним дням есть вкусные и недорогие комплексные обеды. Кафе находится на самом въезде на авторынок ""Зелёный угол"", есть небольшая парковка.",,,
43.1163674,131.9607665,pharmacy,Аптека № 219,,,,
43.1582248,131.9150807,medics,Кожно-венерологический диспансер,,,,
43.1214992,131.9532474,alco,BeerLoga,,,,
43.1143661,131.918165,car_wash,,,,,
43.2013404,131.9499496,car_wash,,,,,
43.1239581,131.9389217,bank,Сбербанк России,,Сбербанк России,,
43.1966362,132.1222649,cafe,Две палочки,,,,
43.1952111,132.1104951,cafe,Алёна,,,,
43.1164931,131.9476127,car_wash,,,,,
43.1363696,131.9673865,fuel,НК Альянс,,,,
43.1370751,131.9427964,fuel,,,Литаг-Ойл,,
43.1125934,131.9364833,fast_food,Кошкин дом,,,,
43.155921,131.91879,pharmacy,,,,,
43.1054957,131.9456435,pharmacy,Аптечная база,,,,
43.1058111,131.9460588,veterinary,,,,,
43.1058254,131.9462641,pharmacy,Владивостокская фармацефтическая фабрика,,,,
43.1052912,131.9462414,pharmacy,,,,,
43.1141287,131.8852961,bank,,,,,
43.1146614,131.8822207,bank,Промсвязьбанк,,Promsvyazbank,,
43.1006885,131.9494047,medics,,,,,
43.0997505,131.9445307,cafe,Старое кафе,,,,
43.0977418,131.9406233,facility,,,,,
43.1050075,131.9378312,atm,Банкомат Росбанка,,Росбанк,,
43.1050469,131.9378491,bank,Росбанк,,,,
43.1068019,131.9387467,bank,Совкомбанк,,,,
43.1071757,131.9389264,medics,,,,,
43.104765,131.9377053,cafe,Интернет Кафе,,,,
43.1038391,131.9465196,pharmacy,Приморская краевая аптека №78,,,,
43.1060192,131.9453844,facility,,,,,
43.1057912,131.9457243,pharmacy,,,,,
43.0975916,131.9747612,car_wash,,,,,
43.0975602,131.976901,goverment,Государственный Технический осмотр,,,,
43.1118681,131.9390504,pharmacy,Тимьян,,,,
43.1685261,131.9339681,fast_food,,,,,
43.1648994,131.942018,car_wash,,,,,
43.164134,131.9412991,car_wash,,,,,
43.1485374,131.9526482,cafe,Золотой петушок,закусочная,,,
43.1452804,131.9522769,car_wash,,,,,
43.1157528,131.9110397,facility,,,,,
43.1114584,131.9396132,bank,Азиатско-Тихоокеанский Банк,,,,
43.1118082,131.9395047,telephone,,,,,
43.1117768,131.9382147,cafe,Inter@zone,,,,
43.1122393,131.9378627,cafe,Гонконг,,,,
43.1113415,131.937673,cafe,Масис,,,,
43.1115493,131.93608,pharmacy,Аптека,,,,
43.1120808,131.9328125,pharmacy,Госаптека,,,,
43.1246249,131.8865432,restaurant,Рестоград,,,,
43.1113654,131.9289389,atm,Росбанк,,Росбанк,,
43.1113624,131.928879,atm,ПримСоцБанк,,,,
43.1120427,131.9278144,facility,,,,,
43.1121778,131.9269693,facility,,,,,
43.112467,131.9267221,medics,Дентал люкс,,,,
43.1121564,131.9262396,pharmacy,,,"ОАО ""Формация""",,
43.1146526,131.9236796,facility,,,,,
43.1126259,131.921307,facility,,,,,
43.1125637,131.9198098,medics,Детская стоматология,,,,
43.1125404,131.9193866,atm,,,,,
43.1125451,131.9177866,cafe,T&M Cofee Cafe,,,,
43.1133205,131.9149436,medics,Клинико-диагностический центр г. Владивостока.,,,,
43.1137009,131.9135818,facility,,,,,
43.1146323,131.913315,medics,,,,,
43.1138651,131.9143767,bank,Сбербанк России. Обслуживание юридеческих лиц.,,,,
43.1137958,131.9147073,post_office,Владивосток 690001,,АО «Почта России»,Почта России,ru:Почта России
43.1137097,131.9151012,post_office,"Курьерская служба ""Регион-Курьер""",,,,
43.1139128,131.916794,bank,Солид банк,,,,
43.1134916,131.9315624,alco,Ceska Pivince,,,,
43.1143532,131.9331925,facility,,,,,
43.127028,131.941698,pharmacy,,,,,
43.1270849,131.9411776,pharmacy,,,,,
43.1124726,131.9341966,medics,,,Ооо Клип-Дент,,
43.1121323,131.9287066,facility,,,,,
43.1111356,131.9259545,medics,Отделение микробиологической лаборатории,,,,
43.1108885,131.9262101,medics,,,,,
43.1119933,131.9216827,goverment,ГрандЮрСервис,,,,
43.1119131,131.9210254,facility,,,,,
43.1041405,131.9435255,facility,,,,,
43.1045684,131.9423641,facility,,,,,
43.1677237,131.916807,pharmacy,Семейная аптека,,,,
43.168056,131.918056,medics,,,,,
43.1686021,131.9207887,pharmacy,Приморская краевая аптека,,,,
43.1686979,131.9212357,atm,,,Сбербанк,,
43.1686824,131.9212918,bank,Сбербанк,,"ОАО ""Сбербанк России""",,
43.168914,131.922939,bank,Росбанк,,,,
43.1689209,131.9229464,atm,,,Росбанк,,
43.1689076,131.923015,pharmacy,Ортопедия,,,,
43.1688347,131.9230164,pharmacy,Медтехника,,,,
43.1689047,131.9237611,veterinary,Ветеринарная аптека,,,,
43.1687844,131.924515,pharmacy,,,,,
43.1688132,131.9245636,bank,Совкомбанк,,,,
43.1688641,131.9251606,restaurant,Via-Vai,,,,
43.1689104,131.9257701,restaurant,Китайский ресторан,,,,
43.1688687,131.9282464,education,Библиотека № 13,,,,
43.1692882,131.9299299,pharmacy,Орто мед,,,,
43.1692736,131.9305447,bank,Восточный экспресс банк,,,,
43.1687274,131.9320439,cafe,Мона,,"ООО ""КАРАТ Б""",,
43.1503739,131.9540973,cafe,"""У Хасана""",,,,
43.1507016,131.95449,fast_food,Медитерия,,,,
43.1513095,131.9543206,cafe,,,,,
43.167121,131.9402741,car_wash,Автомойка,,,,
43.2224436,131.9679097,alco,"""Японский городовой"" Суши-Бар",,,,
43.2244326,131.9928153,fast_food,"Грилль, Горячие обеды",,,,
43.2295838,132.0083643,telephone,,,,,
43.1159219,131.8888514,bank,Сбербанк,,Сбербанк России,,
43.1159021,131.8888065,atm,Сбербанк,,,,
43.1157207,131.8887439,goverment,Участковый пункт №17,,,,
43.2077421,132.0776539,facility,,,,,
43.2077368,132.0775786,cafe,,,,,
43.1108847,131.9382975,fast_food,Рим-Токио,,,,
43.1343076,131.9486728,car_wash,Мойдодыр,,,,
43.1343854,131.9486296,cafe,Армения,,,,
43.1342522,131.9484066,fast_food,,,,,
43.1071202,131.9400995,facility,,,,,
43.1117634,131.9385733,alco,DISCO BAR,,,,
43.1111326,131.9379419,alco,,,,,
43.1114309,131.9379225,fast_food,"Пирожки, торты, кофе",,,,
43.1115351,131.9381577,pharmacy,,,,,
43.1115538,131.943931,facility,,,,,
43.1693827,131.9256155,pharmacy,ovita,,,,
43.1117486,131.937016,facility,,,,,
43.11092,131.9359437,medics,,,,,
43.121535,131.9071911,medics,Краевой психоневрологический диспансер,,,,
43.1222153,131.9078545,medics,"Владивостокская поликлиника №2, КГБУЗ",,,,
43.122022,131.9078983,pharmacy,,,,,
43.1249098,131.9097572,post_office,Владивосток 690014,,АО «Почта России»,Почта России,ru:Почта России
43.1264231,131.9118947,bank,Роял Кредит Банк,,,,
43.1262146,131.9114071,bank,Сбербанк,,,,
43.1160029,131.9085761,goverment,Ленинский районый суд,,,,
43.1258649,131.9053009,education,Библиотека ВГУЭС,,,,
43.0988673,131.9326278,pharmacy,,,,,
43.0996425,131.9330718,medics,Детская поликлиника № 6,,,,
43.100741,131.9351068,medics,Стоматологическая поликлиника № 2,,,,
43.0903675,131.9673854,pharmacy,,,,,
43.0919061,131.9703655,pharmacy,,,,,
43.1227553,131.9225961,car_wash,Автомойка,,,,
43.1000843,131.9306511,pharmacy,,,,,
43.1859237,131.9107278,medics,Поликлиника,,,,
43.18644,131.9109746,medics,Стационар,,,,
43.1868507,131.9109102,medics,"Лаборатория ""Экологической нейрокибернетики""",,,,
43.0994205,131.9310739,pharmacy,,,,,
43.1008162,131.940994,atm,Россельхозбанк,,,,
43.09878,131.9392061,medics,,,,,
43.116477,131.883706,culture,Приморский краевой драматический театр молодежи,,ГАУК «Приморский краевой драматический театр молодежи»,,
43.0968423,131.9374566,facility,,,,,
43.0989422,131.936028,facility,,,,,
43.1001655,131.9357403,facility,,,,,
43.0933903,131.8630154,pharmacy,,,,,
43.0934632,131.865614,post_office,Владивосток 690065,,АО «Почта России»,Почта России,ru:Почта России
43.103303,131.9368512,medics,Ultradent,медико-стоматологическая компания,,,
43.1005568,131.9329612,medics,,,,,
43.0951708,131.862542,pharmacy,Ликарня,,,,
43.0954899,131.8622051,education,Детский сад №45,,,,
43.1341269,131.9374064,car_wash,,,,,
43.1341967,131.9377935,car_wash,,,,,
43.1360835,131.9343764,fuel,RSнефть,,,,
43.1341515,131.9375553,cafe,Grand Prix,,,,
43.1366776,131.9341825,car_wash,,,,,
43.1367128,131.9341753,cafe,PRADO,,,,
43.1113362,131.8797136,pharmacy,,,,,
43.1075748,131.876425,pharmacy,,,,,
43.1126774,131.8780517,pharmacy,,,,,
43.1117782,131.8779443,atm,,,Банк Приморье,,
43.0943802,131.8625103,education,Библиотека №5,,,,
43.0927119,131.8615818,pharmacy,,,o'vita,,
43.0940471,131.8624899,pharmacy,,,,,
43.118137,131.8936905,fast_food,Столовая,,,,
43.1977377,132.131047,restaurant,Cinema,,,,
43.0942536,131.970673,medics,Владивостокская детская поликлиника №6,,,,
43.1420935,131.9106903,medics,,,,,
43.2073744,132.0774777,cafe,,,,,
43.1230962,131.8879937,pharmacy,,,,,
43.109632,131.8781764,restaurant,Золотой Дракон,,,,
43.103394,131.8703586,pharmacy,,,,,
43.112585,131.878497,culture,"детский клуб ""Звездный""",,,,
43.1333078,131.9348276,facility,,,,,
43.1123163,131.8783317,atm,,,,,
43.1054525,131.8720842,medics,,,,,
43.1066597,131.8754683,medics,Smile,,,,
43.1096831,131.8767398,cafe,29 крабов,,,,
43.1117157,131.8777409,medics,Клиника стоматологии и ордонтологии,,,,
43.1156626,131.8770591,restaurant,Бохай,,,,
43.1168255,131.8806086,restaurant,7 самураев,,,,
43.1168786,131.8804937,education,детский сад №31,,,,
43.1153873,131.8767714,cafe,Экватор,,,,
43.1694176,131.9099145,pharmacy,Анталь,,,,
43.1128111,131.9166254,bank,Сбербанк,,Сбербанк России,,
43.1190139,131.8869403,bank,Сбербанк,,,,
43.0911741,131.9708333,pharmacy,Аптека,,,,
43.1143488,131.9349633,facility,,,,,
43.1138715,131.9197848,goverment,Административное территориальное управление Ленинского района г. Владивостока,,,,
43.1138587,131.9200105,goverment,МВД РФ. УВД По Ленинскому району г. владивостока. Отделение по борьбе с незаконным оборотом наркотиков.,,,,
43.1138139,131.9200061,goverment,МВД РФ. УВД По Ленинскому району г. владивостока. Отделение по борьбе с преступностью среди несовершеннолетних.,,,,
43.1126144,131.9201169,community_centre,Благотворительный ортопедический фонд,,"Компания ""Стингрей""",,
43.1127048,131.936997,telephone,,,,,
43.1126865,131.9369423,vending_machine,Приём платежей,,,,
43.1148332,131.934831,post_office,Владивосток 690005,,АО «Почта России»,Почта России,ru:Почта России
43.1331493,131.8949988,car_wash,,,,,
43.1096475,131.9420544,facility,,,,,
43.1108496,131.9425893,facility,,,,,
43.110866,131.9438882,facility,,,,,
43.1129307,131.8923383,bank,Бинбанк,,,,
43.11367,131.8879808,atm,,,Росбанк,,
43.1138477,131.8950407,atm,,,Росбанк,,
43.1137662,131.8954124,atm,,,АТБ,,
43.1149574,131.9037302,atm,,,Сбербанк,,
43.1152559,131.90643,post_office,Владивосток 690090,,АО «Почта России»,Почта России,ru:Почта России
43.1115038,131.9154584,facility,,,,,
43.1907211,132.1053386,facility,,,,,
43.0980671,131.9750649,facility,,,,,
43.0983991,131.967617,facility,,,,,
43.0981359,131.9689308,atm,Банкомат Росбанка,,Росбанк,,
43.1137168,131.895641,fast_food,Бургер Кинг,,,,ru:Burger King
43.1131992,131.9222396,veterinary,DO&CA,"Клуб красоты для домашних любимцев. Стрижка, мытье, СПА-процедуры, одежда, аксессуары, сумки, игрушки.",,,
43.1278441,131.9022248,pharmacy,Аптечный пункт,,,,
43.1252998,131.8951033,telephone,,,,,
43.1248025,131.8846338,education,Приморская краевая научная медицинская библиотека,,,,
43.0899031,131.9667801,atm,,,Росбанк,,
43.0910574,131.9704692,atm,,,Росбанк,,
43.0910417,131.9704211,bank,Росбанк,,Росбанк,,
43.1485404,131.9143537,post_office,Владивосток 690018,,АО «Почта России»,Почта России,ru:Почта России
43.1554469,131.9093166,goverment,УВД по Первореченскому району г. Владивосток,,,,
43.08883,131.9677,medics,Ивалга,стоматология,,,
43.0982989,131.9033729,bank,Банк Приморье,,,,
43.1193518,131.8843117,bank,Росбанк,,,,
43.159081,131.9126625,atm,,,Сбербанк,,
43.1551507,131.9125558,pharmacy,,,,,
43.1586736,131.9123985,pharmacy,,,,,
43.1580816,131.9123735,pharmacy,Семейная,,,,
43.1202063,131.8915907,facility,,,,,
43.1736463,131.9389487,pharmacy,Аптека Монастырёв.рф,,,,
43.2236306,131.9928527,facility,,,,,
43.2237083,131.9909267,facility,,,,,
43.2237467,131.9913424,facility,,,,,
43.2238257,131.9912291,facility,,,,,
43.2197491,131.9907427,facility,,,,,
43.2199375,131.9920259,facility,,,,,
43.2201418,131.9906286,facility,,,,,
43.2201783,131.9906479,facility,,,,,
43.2201897,131.990645,facility,,,,,
43.2202185,131.9899336,facility,,,,,
43.2203372,131.992148,facility,,,,,
43.2203384,131.9921419,facility,,,,,
43.2208117,131.9923012,facility,,,,,
43.2209441,131.9888364,facility,,,,,
43.2212752,131.9885011,facility,,,,,
43.2213891,131.9896611,facility,,,,,
43.2213911,131.9896539,facility,,,,,
43.2213971,131.9896635,facility,,,,,
43.2231752,131.9930126,facility,,,,,
43.2231754,131.9930203,facility,,,,,
43.2224098,131.9904243,facility,,,,,
43.2224112,131.9904181,facility,,,,,
43.2227173,131.9906151,facility,,,,,
43.2230252,131.9907314,facility,,,,,
43.2230534,131.9908027,facility,,,,,
43.2232675,131.9908483,facility,,,,,
43.2168577,131.9596939,atm,,,Росбанк,,
43.2168522,131.9597627,facility,,,,,
43.2168774,131.9597097,atm,,,ПримСоцБанк,,
43.1239662,131.9050565,car_wash,,,,,
43.12411,131.9051456,pharmacy,,,,,
43.1221706,131.9044237,alco,Киото,susi-bar,,,
43.1176792,131.900513,facility,,,,,
43.1177164,131.9006984,facility,,,,,
43.118081,131.9007064,facility,,,,,
43.1181212,131.9007338,facility,,,,,
43.1182689,131.9005745,facility,,,,,
43.1184558,131.9002752,facility,,,,,
43.104653,131.963447,car_wash,H2,"автомойка, химчистка",,,
43.104027,131.9602899,facility,,,,,
43.1047572,131.9544469,car_wash,MDM,,,,
43.1051941,131.9523685,restaurant,Шанхай,,,,
43.1073812,131.9517213,facility,,,,,
43.1074696,131.9537599,facility,,,,,
43.1075798,131.957685,goverment,Единое социальное окно,Отделение приёма граждан по социальным вопросам Ленинского р-на,Администрация Приморского края. Департамент социальной защиты населения.,,
43.1061557,131.9563121,pharmacy,Аптечный пункт,,"ООО ""Сейм""",,
43.1063796,131.9564644,medics,Стоматология,,,,
43.0990513,131.9788913,fuel,,,,,
43.099483,131.9802454,cafe,,,,,
43.1693289,131.9217169,bank,ВТБ,,Банк ВТБ (публичное акционерное общество),ВТБ,
43.1692677,131.9216665,atm,,,Банк ВТБ (ПАО),,
43.1686585,131.9346391,atm,,,ВТБ24,,
43.1676346,131.9238281,post_office,Владивосток 690049,,АО «Почта России»,Почта России,ru:Почта России
43.2073196,132.0785705,cafe,ШумУшел,,,,
43.2078523,132.0781365,facility,мангал,,,,
43.2078985,132.0780732,facility,,,,,
43.2084771,132.0784118,facility,,,,,
43.208248,132.0766327,fast_food,сэндвичи и пончики,,,,
43.2078453,132.0781494,facility,,,,,
43.2078483,132.0781411,facility,,,,,
43.2078597,132.0781544,facility,,,,,
43.2078915,132.0780861,facility,,,,,
43.2078953,132.0780786,facility,,,,,
43.2079058,132.0780911,facility,,,,,
43.2084883,132.0784047,facility,,,,,
43.1008285,131.8947159,medics,GreenSpreeng,информационно сервисный центр. Медицина древнего китая.,,,
43.1016748,131.893759,pharmacy,Аптека - 35,,,,
43.1021037,131.8940666,medics,Травмпункт №2,,,,
43.1006704,131.8949009,pharmacy,,,,,
43.1011262,131.8950884,facility,,,,,
43.0997773,131.8937215,cafe,Кавказ,,,,
43.0996583,131.8940115,pharmacy,,,"ООО ""Интера""",,
43.1109658,131.9437857,facility,,,,,
43.1110782,131.9437721,facility,,,,,
43.1110523,131.9437995,facility,,,,,
43.1124995,131.9499482,facility,,,,,
43.1138699,131.9427817,education,Частный детский сад Никита,,,,
43.1746502,131.9323935,cafe,,,,,
43.1763787,131.9311402,pharmacy,аптека,,,,
43.1689308,131.9251509,atm,,,Газпромбанк,,
43.16974,131.9221671,restaurant,Китайский ресторанчик,,,,
43.1109554,131.943799,facility,,,,,
43.1109851,131.943925,facility,,,,,
43.1110015,131.943905,facility,,,,,
43.1111027,131.9437963,facility,,,,,
43.1111077,131.9437375,facility,,,,,
43.1111237,131.9437732,facility,,,,,
43.1111348,131.9437067,facility,,,,,
43.1111469,131.943746,facility,,,,,
43.1111617,131.9436722,facility,,,,,
43.1108057,131.9359511,bank,ПримСоцБанк,,ПримСоцБанк,,
43.1110266,131.9361301,post_box,,"Дни выемки: Пн-Пт - 7:00, 14:15; Сб-Вс - 11:00",Почта России,,
43.1115455,131.9361258,facility,,,,,
43.1115597,131.9361251,facility,,,,,
43.111825,131.9381574,atm,,с функцией внесаения,Альфа-Банк,,
43.1514379,131.9140803,post_box,,,,,
43.1532052,131.9088184,pharmacy,,,,,
43.1442069,131.9075003,pharmacy,Аптека Солид,,,,
43.1464704,131.9065304,pharmacy,,,,,
43.1738869,131.939108,atm,,,ДВБанк,,
43.1522744,131.9081035,cafe,,,,,
43.1511511,131.9072728,pharmacy,,,,,
43.1203,131.8836158,pharmacy,,,,,
43.1073523,131.9409285,culture,Ромашка,детский развивающий центр,,,
43.1072572,131.9410265,facility,,,,,
43.1072719,131.9410285,atm,,,Далькомбанк,,
43.1072879,131.941172,facility,,,,,
43.1054402,131.9434362,post_box,,,Почта России,,
43.1055075,131.9433564,facility,,,,,
43.1113938,131.93699,atm,,,Примсоцбанк,,
43.0940134,131.9640363,pharmacy,,,"ООО ""Центр красоты и здоровья ""Виктория""",,
43.1077491,131.9428412,facility,,,,,
43.1077567,131.9428306,facility,,,,,
43.1077827,131.9425701,facility,,,,,
43.1077838,131.9427668,facility,,,,,
43.1078096,131.9425928,facility,,,,,
43.1078266,131.9426859,facility,,,,,
43.1093027,131.9431435,facility,,,,,
43.1104098,131.9430244,facility,,,,,
43.110438,131.9430059,facility,,,,,
43.1104614,131.9429898,facility,,,,,
43.1104646,131.942981,facility,,,,,
43.1108498,131.9384457,cafe,Милан,,,,
43.1115671,131.9412892,facility,,,,,
43.1123071,131.9420328,facility,,,,,
43.1104658,131.9421684,facility,,,,,
43.1104912,131.9428349,facility,,,,,
43.1106661,131.9428907,facility,,,,,
43.1106733,131.9429447,facility,,,,,
43.1106812,131.942996,facility,,,,,
43.1127471,131.9407344,vending_machine,КиберКасса,,,,
43.1138163,131.9427764,pharmacy,,,"ООО ""Альцеа-Фарм""",,
43.168757,131.9349399,cafe,Курёнок,,,,
43.1686484,131.9346985,atm,,,Сбербанк,,
43.1686532,131.9346702,atm,,,Росбанк,,
43.1687012,131.9348891,atm,,,Примсвязьбанк,,
43.1688414,131.9348808,facility,,,,,
43.1578964,131.9175924,medics,,,,,
43.1321159,131.9127284,fast_food,"Суши-Т, Пица-Студио, Кафе",,,,
43.1211704,131.8868045,fast_food,Пицца-Рико,,,,
43.1055031,131.871486,facility,,,,,
43.1129437,131.8809778,fast_food,OKI DOKI,бистро пиццерия,,,
43.1131181,131.8809322,alco,Roshimi,sushibar,,,
43.1132548,131.8808915,bank,ПримСоцБанк,,,,
43.1130121,131.8809032,cafe,Происки буржуазии,,,,
43.1128216,131.8809552,bank,Роял Кредит Банк,,,,
43.115041,131.8821906,community_centre,Союз художников России,,"Приморская организация Всеросийской творческой общественной организации ""Союз художников России""",,
43.11465,131.8821826,atm,,,Промсвязьбанк,,
43.1128502,131.880967,atm,,,Роял Кредит Банк,,
43.1128792,131.8809734,atm,,,Дальневосточный банк,,
43.1160062,131.8867885,facility,,,Уссури,,
43.1426147,131.9106313,car_wash,Автомойка,,,,
43.1424515,131.9106403,vending_machine,Приём платежей,,,,
43.1441541,131.9074184,medics,,,,,
43.1224607,131.9125289,car_wash,Автомойка,,,,
43.1223714,131.9121426,medics,"Психологический центр ""Берегиня""",,,,
43.1213434,131.886452,cafe,Traveler's Coffee,,,,
43.1302673,131.9397551,car_wash,Альянс Авто,,,,
43.1203819,131.8829478,bank,Сбербанк,,Сбербанк России,,
43.1040233,131.8987883,car_wash,,,,,
43.1121376,131.9369844,fast_food,OKI-DOKI,,,,
43.1602529,131.9235196,car_wash,,,,,
43.1090225,131.9413223,vending_machine,Приём платежей,,,,
43.1089977,131.9412999,facility,,,,,
43.1077277,131.9428762,cafe,Буфет,Горячие обеды,,,
43.1578976,131.9108666,bank,ПримСоцБанк,,ПримСоцБанк,,
43.1579518,131.9108749,cafe,Эльзас,,,,
43.1767448,131.9188947,cafe,Бахрома,,,,
