PT_Name,PostCode,ADDRESS,street,latitude,longitude
Постамат: QIWI: Аптека: 100-летия Владивостока,690062,"100-летия Владивостока пр-кт, д. 20",100-летия Владивостока пр-кт,"43,144127","131,907572"
Постамат: QIWI: Бизнес Центр: Пушкинская,690001,"Пушкинская ул.,  д. 40",Пушкинская ул.,"43,114924","131,910763"
Постамат: QIWI: Супермаркет Парус,690002,"Океанский пр-кт, д. 108",Океанский пр-кт,"43,132651","131,905409"
Постамат: QIWI: ТЦ Заря,690069,"100-летия Владивостока пр-кт, д. 150В",100-летия Владивостока пр-кт,"43,180344","131,920546"
Постамат: QIWI: ТЦ Маяк,690065,"Крыгина ул., д. 15А",Крыгина ул.,"43,094097","131,863674"
Постамат: QIWI: Реми: Луговая,690087,"Луговая ул., д. 91",Луговая ул.,"43,131401","131,942231"
Постамат: QIWI: Парус: Магнитогорская,690068,"Магнитогорская ул., д. 16",Магнитогорская ул.,"43,176248","131,913054"
Постамат: QIWI: Сфера Маркет: Бестужева,690003,"Бестужева ул., д. 31",Бестужева ул.,"43,110317","131,876475"
Постамат: QIWI: ТД Бум,690105,"Русская ул., д. 74А",Русская ул.,"43,16877","131,925218"
Постамат: QIWI: Парус: Калинина,690035,"Калинина ул., д. 43",Калинина ул.,"43,101971","131,91556"
Постамат: QIWI: Парус: 100 лет Владивостоку,690033,"100-летия Владивостока пр-кт, д. 68",100-летия Владивостока пр-кт,"43,160948","131,913431"
Постамат: QIWI: Парус: Некрасовская,690014,"Некрасовская, д. 94",Некрасовская,"43,129907","131,91238"
ПВЗ: Exmail: Героев Варяга,690089,"Героев Варяга ул.,  д. 2В, офис 1",Героев Варяга ул.,"43,161947","131,932035"
Постамат: PickPoint: ТЦ Семерочка,690088,"Жигура ул., д. 26",Жигура ул.,"43,129597","131,926028"
ПВЗ: Westfalika: Океанский,690002,"Океанский пр-кт, д. 140",Океанский пр-кт,"43,132802","131,909227"
ПВЗ: Westfalika: 100-тия Владивостока 86,690069,"100-тия Владивостока пр-кт, д. 86",100-тия Владивостока пр-кт,"43,168589","131,915893"
Постамат: QIWI: ТЦ Квартал: Ладыгина,690037,"Ладыгина ул., д. 7",Ладыгина ул.,"43,121873","131,954736"
Постамат: QIWI: ТЦ Серп и Молот,690012,"Калинина ул., д. 275Б",Калинина ул.,"43,093281","131,904628"
Постамат: PickPoint: ТРЦ Калина Молл,690035,"Калинина ул., д. 8",Калинина ул.,"43,102622","131,917501"
ПВЗ: Westfalika: Борисенко,690016,"Борисенко ул., д. 17",Борисенко ул.,"43,10151","131,945115"
ПВЗ: Westfalika: 100-тия Владивостока 47,690048,"100-тия Владивостока пр-кт, д. 47",100-тия Владивостока пр-кт,"43,153391","131,908931"
Постамат: PickPoint: ТЦ Первомай,690021,"Калинина ул., д. 275",Калинина ул.,"43,094045","131,902813"
Постамат: QIWI: Фреш 25,690013,"Черняховского ул., д. 5",Черняховского ул.,"43,119366","131,955715"
Постамат: QIWI: ТЦ СОЛО,690089,"Мичуринская ул., д. 2",Мичуринская ул.,"43,157702","131,92764"
Постамат: QIWI: Гипермаркет ОК,690014,"Красного Знамени пр-кт, д. 82",Красного Знамени пр-кт,"43,126137","131,913126"
Постамат: QIWI: Супермаркет ТУТБЕРИ,690109,"Ватутина ул., д. 6",Ватутина ул.,"43,105407","131,953469"
Постамат: QIWI: ТЦ Авангард,690001,"Светланская ул., д. 106",Светланская ул.,"43,111988","131,917537"
